City,Cloudiness_%,Country,Date,Humidity_%,Lat,Lng,Max Temp_F,Wind Speed_mph
mataura,11.0,NZ,1573954732.0,58.0,-46.19,168.86,59.0,8.01
hailey,5.0,US,1573954732.0,41.0,43.52,-114.32,42.8,3.36
punta arenas,75.0,CL,1573954732.0,66.0,-53.16,-70.91,48.2,25.28
olafsvik,0.0,AU,1573954733.0,40.0,-33.64,115.35,80.01,11.39
busselton,9.0,NZ,1573954734.0,91.0,-35.17,173.16,71.01,17.07
ahipara,93.0,GL,1573954734.0,79.0,65.61,-37.64,28.4,14.99
tasiilaq,90.0,RU,1573954734.0,100.0,55.82,37.87,39.2,6.71
vostochnyy,90.0,CA,1573954734.0,84.0,62.45,-114.38,8.01,4.7
yellowknife,42.0,ID,1573954734.0,39.0,-6.99,112.52,94.68,5.3
tabiauea,0.0,BR,1573954734.0,83.0,-22.97,-42.02,71.51,11.21
lasem,100.0,GL,1573954734.0,95.0,77.48,-69.36,6.06,5.95
arraial do cabo,10.0,CF,1573954346.0,31.0,10.3,22.78,71.31,5.14
qaanaaq,51.0,PF,1573954346.0,82.0,-23.12,-134.97,75.36,6.73
birao,100.0,GY,1573954346.0,96.0,8.2,-59.78,72.75,1.32
rikitea,96.0,ZA,1573954346.0,77.0,-34.53,20.04,59.0,5.82
belushya guba,0.0,BR,1573954735.0,95.0,-1.82,-44.87,73.24,2.3
mabaruma,40.0,AU,1573954735.0,33.0,-42.88,147.33,62.01,18.34
bredasdorp,100.0,RU,1573954735.0,91.0,62.1,126.7,-9.74,8.01
cururupu,1.0,US,1573954735.0,55.0,36.85,-121.4,66.2,2.64
hobart,90.0,CA,1573954735.0,85.0,55.74,-97.86,17.6,8.05
berdigestyakh,90.0,US,1573954736.0,83.0,19.71,-155.08,78.8,4.7
hollister,93.0,KM,1573954736.0,84.0,-11.38,43.28,80.2,4.7
thompson,100.0,BY,1573954736.0,93.0,54.51,30.43,44.67,9.06
hilo,75.0,US,1573954736.0,78.0,60.79,-161.76,10.4,18.34
mitsamiouli,0.0,AU,1573954736.0,15.0,-23.58,149.07,100.08,14.76
umzimvubu,100.0,PH,1573954736.0,78.0,10.18,122.9,79.47,5.41
orsha,99.0,RU,1573954736.0,98.0,70.62,147.9,-2.85,5.26
bethel,89.0,RU,1573954737.0,95.0,67.55,63.78,11.95,8.39
bluff,80.0,KI,1573954737.0,73.0,3.07,172.79,83.66,11.41
cabanbanan,90.0,US,1573954737.0,32.0,39.31,-74.98,45.0,11.41
chokurdakh,100.0,GL,1573954737.0,37.0,60.91,-46.05,37.4,35.57
komsomolskiy,75.0,MU,1573954737.0,83.0,-20.01,57.66,75.99,12.75
butaritari,100.0,AU,1573954737.0,24.0,-20.07,146.27,93.97,2.59
port elizabeth,1.0,US,1573954469.0,53.0,42.65,-73.75,24.01,6.93
ransang,98.0,ZA,1573954738.0,95.0,-33.59,26.89,64.0,1.99
marcona,63.0,RU,1573954738.0,62.0,50.68,156.12,23.22,0.83
pietarsaari,75.0,JP,1573954738.0,48.0,35.73,140.83,61.0,14.99
narsaq,0.0,RU,1573954738.0,64.0,69.49,88.39,-4.0,11.18
grand gaube,1.0,US,1573954676.0,57.0,41.15,-96.04,55.4,8.05
charters towers,0.0,BR,1573954627.0,77.0,-28.24,-48.67,68.0,8.05
albany,0.0,CN,1573954738.0,27.0,39.77,98.29,18.39,5.01
port alfred,0.0,NO,1573954342.0,78.0,70.86,29.09,29.7,14.0
severo-kurilsk,33.0,ID,1573954739.0,73.0,-9.65,120.26,82.06,1.9
hasaki,0.0,BR,1573954739.0,87.0,-2.92,-39.92,75.49,5.77
talnakh,100.0,CN,1573954739.0,41.0,42.78,124.11,36.19,1.1
papillion,40.0,GY,1573954728.0,88.0,6.8,-58.16,80.6,6.93
imbituba,75.0,AR,1573954739.0,81.0,-54.81,-68.31,48.2,6.93
jiayuguan,100.0,RU,1573954739.0,100.0,66.83,70.83,-10.61,15.46
berlevag,40.0,ZA,1573954739.0,63.0,-33.93,18.42,61.0,19.46
waingapu,21.0,UY,1573954739.0,87.0,-33.69,-53.46,66.33,3.24
itarema,100.0,CN,1573954740.0,54.0,42.18,127.48,36.3,4.45
changtu,1.0,US,1573954405.0,76.0,30.04,-94.42,50.0,3.33
georgetown,49.0,AU,1573954740.0,53.0,-34.72,135.86,62.01,10.07
ushuaia,42.0,AU,1573954740.0,15.0,-33.21,138.6,78.57,1.36
yar-sale,100.0,CM,1573954740.0,92.0,3.52,15.05,69.57,2.35
cape town,14.0,AR,1573954740.0,43.0,-46.43,-67.52,59.94,29.73
chuy,40.0,JP,1573954740.0,67.0,33.72,135.99,62.6,5.82
grand river south east,75.0,MU,1573954740.0,83.0,-20.41,57.7,75.99,12.75
songjianghe,90.0,RU,1573954741.0,93.0,59.7,30.79,37.99,6.71
nome,0.0,ZA,1573954741.0,80.0,-30.97,22.13,56.57,12.64
port lincoln,91.0,RU,1573954741.0,96.0,69.3,139.9,-4.4,3.42
jamestown,75.0,IT,1573954446.0,59.0,41.89,12.48,68.0,28.86
yokadouma,0.0,RU,1573954741.0,73.0,45.66,40.76,41.58,13.69
